UA,Ambiente,Gado,Temperatura,Cobertura,Luz,Flores,sp.1,sp.2,sp.3,sp.4,sp.5,sp.6,sp.7,sp.8,sp.9,sp.10,sp.11,sp.12,sp.13,sp.14,sp.15,sp.16,sp.17,sp.18,sp.19,sp.20,sp.21,sp.22,sp.23,sp.24,sp.25,sp.26,sp.27,sp.28,sp.29,sp.30,sp.31,sp.32,sp.33,sp.34
area1,MP,Presente,21.8,73,53.5,14,4,0,7,2,0,0,3,2,1,1,0,1,3,3,0,3,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,1,0,0
area2,MP,Ausente,21.3,62,61,28,5,0,3,7,2,5,2,4,2,3,0,5,6,4,0,3,0,1,0,3,1,2,0,1,1,2,0,0,0,0,5,1,0,0
area3,MP,Presente,23.8,57,71.5,17,1,0,2,0,2,2,3,3,0,5,0,0,0,2,0,0,0,2,2,0,3,1,1,0,0,1,0,0,0,0,0,1,0,0
area4,MP,Presente,23.2,49,69.5,29,3,0,6,4,1,14,2,5,0,2,4,2,3,10,0,2,1,3,2,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0
area5,MP,Presente,21.5,59,61.5,15,5,0,7,2,1,4,1,2,0,1,0,0,3,5,1,0,0,1,3,0,2,2,1,1,0,1,0,0,1,0,0,1,1,1
area6,MP,Ausente,21.7,78,53,24,1,0,2,4,0,3,4,3,0,1,2,2,2,2,0,0,0,3,0,4,1,2,1,2,1,1,0,0,0,0,0,1,0,0
area7,MP,Ausente,20.3,64,58,21,1,3,2,5,3,3,3,0,2,0,0,4,3,2,0,3,0,0,0,0,3,1,2,0,1,2,3,0,0,0,1,1,0,0
area8,MP,Ausente,19.7,74,56,29,0,1,1,3,4,9,2,0,0,0,2,5,1,5,0,0,0,0,2,2,3,2,1,1,0,1,0,0,0,0,0,0,0,0
area9,MP,Presente,24.7,48,71,20,6,4,8,3,0,8,1,1,1,1,0,0,4,8,1,1,0,2,0,0,3,2,2,1,0,1,0,0,0,0,0,1,1,0
area10,MP,Presente,20.2,75,60.5,5,3,0,3,1,0,0,3,0,0,1,0,0,2,0,0,0,0,0,1,0,2,2,1,1,1,1,0,2,0,0,0,1,0,0
area11,MP,Ausente,23.0,78,57,28,4,1,5,2,0,7,6,2,3,1,0,0,3,6,0,0,0,2,2,4,3,2,1,1,2,0,0,0,0,0,0,0,0,0
area12,MP,Presente,27.3,52,70,10,4,0,4,0,0,5,2,2,2,6,0,2,0,4,0,0,0,1,4,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0
area13,MP,Presente,23.3,40,70,8,4,0,7,0,0,1,2,5,2,3,0,1,0,4,0,3,0,0,3,0,3,1,1,0,1,1,0,0,0,0,0,1,0,0
area14,MP,Ausente,20.7,64,62,22,0,1,1,3,0,7,3,3,1,2,1,5,1,4,0,0,0,0,1,3,2,3,1,1,1,1,0,0,2,0,2,1,0,0
area15,MP,Presente,20.3,72,55,21,0,2,1,4,1,2,6,0,0,0,0,2,2,1,0,1,0,0,0,0,3,1,1,0,2,2,0,0,0,0,0,0,1,0
area16,MP,Ausente,26.7,52,68,17,4,3,5,0,0,5,0,6,0,3,0,0,1,5,2,4,0,0,0,0,3,1,1,2,2,1,1,0,0,0,0,1,0,0
area17,MP,Ausente,21.5,69,61.5,26,0,3,5,1,2,7,3,4,0,0,0,3,0,6,0,3,0,2,0,2,3,2,2,1,1,1,0,0,0,0,0,1,0,1
area18,MS,Presente,29.5,27,82.5,25,6,0,9,2,3,4,0,3,3,3,3,0,4,6,2,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0
area19,MS,Ausente,22.7,56,65,47,5,2,7,8,2,20,4,1,2,2,11,9,6,13,2,1,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1
area20,MS,Ausente,31.2,35,81.5,36,4,5,10,7,5,14,0,7,5,1,3,2,5,12,5,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0
area21,MS,Presente,30.0,36,81,27,6,0,10,4,2,8,0,4,5,3,4,3,5,9,4,0,0,0,0,0,2,3,1,0,1,0,0,0,0,1,0,1,0,0
area22,MS,Ausente,27.8,39,74.5,40,1,4,7,8,5,13,2,3,1,1,8,6,4,10,1,0,5,0,0,0,3,2,2,0,1,0,0,4,0,0,0,0,1,1
area23,MS,Presente,22.7,48,68,44,5,0,3,6,3,9,3,4,0,2,8,3,5,6,0,0,7,3,0,0,3,2,1,0,1,0,0,0,1,0,0,1,0,0
area24,MS,Ausente,30.0,30,84,40,4,1,6,5,5,17,0,6,2,0,6,4,4,11,3,0,4,3,0,0,2,2,0,0,1,0,0,0,0,0,0,1,1,0
area25,MS,Ausente,26.8,45,68.5,29,2,0,7,5,2,9,2,6,4,0,6,1,3,8,4,2,3,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0
area26,MS,Presente,28.2,45,72.5,38,5,0,6,3,5,16,0,7,6,4,6,1,4,11,3,0,1,1,0,0,3,2,1,0,2,0,0,0,0,0,0,1,0,0
area27,MS,Presente,26.2,49,69.5,39,5,0,4,6,1,8,3,3,2,2,5,1,5,6,0,0,1,0,0,0,4,1,1,0,2,0,0,0,0,2,0,0,0,0
area28,MS,Ausente,26.2,49,75.5,43,4,1,4,7,4,14,3,5,2,2,8,3,5,9,1,0,6,0,0,0,3,2,1,0,1,0,0,0,0,0,0,1,1,0
area29,MS,Ausente,25.7,42,77,35,6,1,4,8,0,12,0,3,3,0,7,6,7,8,3,0,0,0,0,0,3,3,1,0,1,0,0,0,3,0,0,0,0,0
area30,MS,Presente,29.7,34,80,23,5,1,4,4,1,2,1,5,6,0,5,0,4,3,4,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
