MUNICÍPIO,SRS,SE 1,SE 2,SE 3,SE 4,SE 5,SE 6,SE 7,SE 8,SE 9,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,HABITANTES
ÁGUIA BRANCA,C,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9631
ALTO RIO NOVO,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7874
BAIXO GUANDU,C,0,0,1,0,2,1,0,2,4,8,11,4,8,8,6,5,2,31132
COLATINA,C,2,2,3,2,3,1,7,4,4,10,5,7,10,37,39,36,24,123400
GOVERNADOR LINDEMBERG,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12880
LINHARES,C,92,101,75,57,35,43,30,42,32,55,58,58,79,90,68,57,83,176688
MANTENÓPOLIS,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15503
MARILÂNDIA,C,1,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,12963
PANCAS,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23306
RIO BANANAL,C,0,0,0,0,0,0,2,1,1,1,0,1,1,0,0,0,0,19271
SÃO DOMINGOS DO NORTE,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8687
SÃO GABRIEL DA PALHA,C,1,1,1,1,3,4,5,2,13,14,22,30,46,74,39,59,69,38522
SÃO ROQUE DO CANAÃ,C,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,12510
SOORETAMA,C,0,0,2,2,1,2,0,0,1,1,1,1,1,1,1,0,0,30680
VILA VALÉRIO,C,0,0,0,0,1,0,0,0,0,0,1,1,0,6,2,7,1,14073
AFONSO CLÁUDIO,M,0,0,1,1,0,0,0,0,3,2,1,2,0,3,1,0,2,30455
ARACRUZ,M,3,11,6,4,5,4,4,5,9,7,3,10,9,7,22,6,7,103101
BREJETUBA,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12427
CARIACICA,M,4,8,5,7,4,3,6,3,3,5,14,10,11,12,11,11,12,383917
CONCEIÇÃO DO CASTELO,M,0,1,0,0,0,0,0,1,0,0,0,0,3,1,1,4,10,12806
DOMINGOS MARTINS,M,2,0,1,0,0,1,0,0,1,1,0,0,1,3,1,3,1,33986
FUNDÃO,M,4,5,8,2,3,8,3,1,0,2,5,7,11,16,18,7,15,21948
GUARAPARI,M,1,1,1,2,0,2,1,1,4,1,3,0,3,2,1,4,0,126701
IBATIBA,M,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5,9,7,26426
IBIRAÇU,M,2,2,0,0,0,0,0,0,1,1,1,0,3,2,0,2,2,12591
ITAGUAÇU,M,4,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,4,14023
ITARANA,M,8,16,6,1,3,0,0,3,1,0,4,2,4,2,1,2,0,10494
JOÃO NEIVA,M,2,0,1,0,0,0,1,1,0,0,0,0,2,3,1,0,1,16722
LARANJA DA TERRA,M,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,10933
MARECHAL FLORIANO,M,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,2,1,16920
SANTA LEOPOLDINA,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12197
SANTA MARIA DE JETIBÁ,M,2,3,2,0,0,3,1,0,2,0,1,1,1,6,2,0,3,41015
SANTA TERESA,M,10,4,3,3,2,5,1,0,1,2,4,2,5,11,4,8,7,23724
SERRA,M,16,34,19,12,11,12,20,12,21,22,19,30,29,35,24,28,28,527240
VENDA NOVA DO IMIGRANTE,M,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,2,25745
VIANA,M,0,1,0,1,0,1,1,1,0,0,1,2,2,1,2,0,0,79500
VILA VELHA,M,7,15,12,31,21,17,19,17,14,15,23,28,23,36,28,26,25,501325
VITÓRIA,M,41,44,35,25,19,24,20,24,32,34,52,38,51,56,57,62,83,365855
AGUA DOCE DO NORTE,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10909
BARRA DE SÃO FRANCISCO,N,0,0,4,0,2,1,1,0,0,1,1,0,0,1,0,0,1,44979
BOA ESPERANÇA,N,0,0,0,3,3,0,1,0,0,0,0,1,3,4,5,1,3,15092
CONCEIÇÃO DA BARRA,N,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,31273
ECOPORANGA,N,0,0,0,0,0,0,1,0,1,1,0,0,4,0,2,0,4,22835
JAGUARÉ,N,3,4,6,1,2,2,3,14,7,9,15,32,47,59,42,33,32,31039
MONTANHA,N,1,1,0,0,0,0,0,0,2,1,1,4,1,3,2,3,4,18894
MUCURICI,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5496
NOVA VENÉCIA,N,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,4,50434
PEDRO CANÁRIO,N,9,4,1,1,0,0,0,0,2,0,0,0,2,4,6,6,7,26381
PINHEIROS,N,2,1,3,4,1,10,4,19,15,63,78,104,122,140,160,124,104,27327
PONTO BELO,N,0,0,0,0,0,1,1,2,1,3,0,0,3,2,5,2,9,7940
SAO MATEUS,N,2,2,4,1,2,7,14,24,13,10,27,24,34,48,77,57,40,132642
VILA PAVÃO,N,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,9244
ALEGRE,S,1,3,0,0,1,1,0,2,1,3,1,1,0,0,1,1,0,29975
ALFREDO CHAVES,S,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,14636
ANCHIETA,S,0,2,1,2,0,0,0,0,0,0,2,1,0,0,0,2,1,29779
APIACÁ,S,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7554
ATÍLIO VIVÁCQUA,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12105
BOM JESUS DO NORTE,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9962
CACHOEIRO DE ITAPEMIRIM,S,1,1,4,7,10,8,6,5,7,3,0,0,5,3,3,5,8,210589
CASTELO,S,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,37747
DIVINO DE SÃO LOURENÇO,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4270
DORES DO RIO PRETO,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6771
GUAÇUÍ,S,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,31122
IBITIRAMA,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8859
ICONHA,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13973
IRUPI,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13526
ITAPEMIRIM,S,0,1,0,0,0,0,0,1,0,1,20,2,10,4,4,3,3,34656
IÚNA,S,0,1,1,1,1,1,1,4,0,0,0,0,2,0,0,0,0,29290
JERÔNIMO MONTEIRO,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12265
MARATAÍZES,S,0,0,0,0,0,1,1,2,0,1,4,2,1,0,0,1,1,38883
MIMOSO DO SUL,S,0,0,0,0,0,0,0,1,2,2,0,1,3,1,1,0,0,26115
MUNIZ FREIRE,S,0,0,0,0,0,0,0,0,0,0,2,9,8,14,18,29,19,17319
MUQUI,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15526
PIÚMA,S,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,2,0,22053
PRESIDENTE KENNEDY,S,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11658
RIO NOVO DO SUL,S,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,11626
SÃO JOSE DO CALÇADO,S,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10546
VARGEM ALTA,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21591
